Configuration,Rule Source,Sarif Identifier,Alerts
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/bad-tag-filter,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/bind-socket-all-network-interfaces,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/clear-text-logging-sensitive-data,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/clear-text-storage-sensitive-data,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/client-exposed-cookie,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/code-injection,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/command-line-injection,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/cookie-injection,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/csrf-protection-disabled,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/flask-debug,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/full-ssrf,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/http-response-splitting,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/incomplete-hostname-regexp,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/incomplete-url-substring-sanitization,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/insecure-cookie,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/insecure-default-protocol,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/insecure-protocol,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/insecure-temporary-file,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/ldap-injection,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/nosql-injection,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/overly-large-range,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/pam-auth-bypass,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/paramiko-missing-host-key-validation,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/path-injection,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/polynomial-redos,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/redos,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/reflective-xss,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/regex-injection,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/samesite-none-cookie,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/sql-injection,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/stack-trace-exposure,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/summary/lines-of-code,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/summary/lines-of-user-code,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/template-injection,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/unsafe-deserialization,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/url-redirection,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/use-of-input,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/weak-crypto-key,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/weak-cryptographic-algorithm,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/weak-sensitive-data-hashing,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/xml-bomb,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/xpath-injection,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/xxe,0
