排名,模型名称,开发公司,系列,分数,准确率百分比,模型类别,是否开源
4,Llama 3.1 405B Instruct,Meta,llama,0.968,96.8%,大语言模型,是
7,Qwen2.5 32B Instruct,Alibaba Cloud / Qwen Team,qwen,0.959,95.9%,大语言模型,是
9,Qwen2.5 72B Instruct,Alibaba Cloud / Qwen Team,qwen,0.958,95.8%,大语言模型,是
10,DeepSeek-V2.5,DeepSeek,deepseek,0.951,95.1%,大语言模型,是
12,Qwen2.5 14B Instruct,Alibaba Cloud / Qwen Team,qwen,0.948,94.8%,中型模型,是
16,Qwen3 235B A22B,Alibaba Cloud / Qwen Team,qwen,0.944,94.4%,超大语言模型,是
21,Qwen2.5 7B Instruct,Alibaba Cloud / Qwen Team,qwen,0.916,91.6%,中型模型,是
22,Llama 3.1 Nemotron 70B Instruct,NVIDIA,llama,0.914,91.4%,大语言模型,是
23,Qwen2.5-Coder 32B Instruct,Alibaba Cloud / Qwen Team,qwen,0.911,91.1%,代码专用模型,是
23,Qwen2 72B Instruct,Alibaba Cloud / Qwen Team,qwen,0.911,91.1%,大语言模型,是
29,Qwen2.5-Omni-7B,Alibaba Cloud / Qwen Team,qwen,0.887,88.7%,多模态模型,是
35,Qwen2.5-Coder 7B Instruct,Alibaba Cloud / Qwen Team,qwen,0.839,83.9%,代码专用模型,是
36,Qwen2 7B Instruct,Alibaba Cloud / Qwen Team,qwen,0.823,82.3%,中型模型,是
39,Llama 3.2 3B Instruct,Meta,llama,0.777,77.7%,轻量级模型,是
